========= 10000 =========
          43649470 function calls (38794071 primitive calls) in 33.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   956508    0.081    0.000    0.081    0.000 {built-in method __new__ of type object at 0x909780}
    75625    0.077    0.000    0.167    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:241(intersection)
   956514    0.068    0.000    0.068    0.000 {built-in method builtins.hasattr}
        1    0.065    0.065    0.663    0.663 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/coalesce.py:67(coalescing_d)
    60252    0.059    0.000    0.393    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/rule.py:17(__str__)
    60252    0.057    0.000    0.065    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:340(__hash__)
   688084    0.057    0.000    0.057    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/term.py:18(__str__)
   126348    0.056    0.000    0.094    0.000 {built-in method builtins.sorted}
   884377    0.056    0.000    0.056    0.000 {method 'join' of 'str' objects}
        1    0.052    0.052    0.892    0.892 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/materialize.py:65(naive_combine)
        1    0.045    0.045    0.050    0.050 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/index_build.py:4(build_index)
   107794    0.043    0.000    0.043    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/join_util.py:19(boundary_check)
   346583    0.043    0.000    0.043    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:44(get_predicate)
    46618    0.036    0.000    0.055    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/apply.py:294(reverse_apply)
   109339    0.035    0.000    0.179    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:25(__str__)
   195521    0.034    0.000    0.041    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:343(__eq__)
    94294    0.033    0.000    0.033    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:229(inclusion)
    55135    0.032    0.000    0.043    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:177(union)
   130374    0.031    0.000    0.031    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/coalesce.py:9(<lambda>)
    84066    0.030    0.000    0.036    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/term.py:21(__eq__)
   158645    0.029    0.000    0.029    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/atom.py:6(__init__)
   382096    0.028    0.000    0.028    0.000 {method '__deepcopy__' of 'decimal.Decimal' objects}
     9459    0.028    0.000    0.221    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/naive_join.py:117(do_profile_1)
   207077    0.027    0.000    0.089    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:66(<listcomp>)
   124968    0.024    0.000    0.024    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:5(__init__)
   100509    0.024    0.000    0.024    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:56(set_entity)
   125474    0.023    0.000    0.107    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:69(<listcomp>)
    10330    0.022    0.000    0.025    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:441(circle_add)
   215733    0.021    0.000    0.021    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:47(get_entity)
    60252    0.021    0.000    0.197    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/rule.py:19(<listcomp>)
    71561    0.019    0.000    0.023    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/literal.py:50(get_op_name)
    38411    0.018    0.000    0.332    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/coalesce.py:55(<lambda>)
    16752    0.018    0.000    0.103    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/materialization/naive_join.py:127(<dictcomp>)
    53950    0.017    0.000    0.026    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/term.py:11(new_term)
     7371    0.016    0.000    0.017    0.000 /home/zinzin2312/repos/MeTeoR/meteor_reasoner/classes/interval.py:410(add)
    60252    0.016    0.000    0.081    0.000 {method 'add' of 'set' objects}
